film,naslov,leto,opis,trajanje,ocena_kritikov,oznaka,igralci,reziserji,zanri,drzave,teme,oznake
10,The Illusionist,2010,"A down-on-his-luck illusionist befriends a pretty admirer, and finds that his constant quest to impress her may be his ultimate downfall in this animated fable based on an original screenplay by Jacques Tati and directed by Sylvain Chomet. Now that the theaters and large performance venues have been taken over by rock bands and pop singers, the illusionist has been forced to ply his trade at small gatherings in bars, cafés, and basements in order earn a living. One day, while performing in a small Scottish pub located on a remote island that has only recently been wired for electricity, the illusionist encounters a young girl named Alice, who is captivated by his otherworldly abilities. Alice believes that the downtrodden performer possesses genuine supernatural powers, and agrees to accompany him on a trip to Edinburgh, where he's scheduled to perform at a modest, out-of-the-way theater. Her affection and enthusiasm inspire the illusionist, who in turn uses his talent to lavish her with a series of extravagant gifts. Unable to muster the courage to tell his starry-eyed admirer the truth about his trade, the illusionist continues giving until he's got nothing more to offer. This picture marked Chomet's first following the 2003 arthouse smash The Triplets of Belleville.",80,9,PG,"['Jean-Claude Donda', 'Eilidh Rankin', 'Paul Bandey', 'Tom Urie', 'James T. Muir', 'Duncan MacNeil', 'Jacques Tati']",['Sylvain Chomet'],"['Fantasy', 'Drama']","['France', 'United Kingdom']","['Schemes and Ruses', 'Unlikely Friendships', 'Wizards and Magicians']","['Adult Situations', 'Questionable for Children', 'Smoking']"
11,Great Freedom,2021,"Winner of the Un Certain Regard Jury Prize at the 2021 Cannes Film Festival, the film tells the story of Hans Hoffmann (Franz Rogowski) in post-war Germany. Liberated by the Allies, Germany’s newly gained freedom does not apply to everyone. Imprisoned for the crime of homosexuality, Hoffmann spends endless years of his life in jail. He meets his cellmate Viktor (Georg Friedrich), and together they forge an unlikely bond that changes their lives forever. The film is the official Austrian entry for the 2022 Academy Awards.",116,9,NR,"['Franz Rogowski', 'Georg Friedrich', 'Anton von Lucke', 'Thomas Prenn', 'Johannes Cramer', 'Ulrich Faßnacht', 'Alfred Hartung', 'Klaus Huhle', 'Dan Lestrade', 'Andreas Patton', 'Joachim Schönfeld', 'Ernst Sigot', 'Thomas Stecher', 'Fabian Stumm', 'Daniel Wagner', 'Thomas Wehling']",['Sebastian Meise'],"['Drama', 'Crime']","['Austria', 'Germany']",[],[]
12,Astenichesky Sindrom,1989,"Some films and filmmakers don't budge an inch from their artistic visions, regardless of whether they are easy for the viewer to understand or tolerate, and (in this case) regardless of the inevitable disapproval of the state censors. Award-winning Russian director Kira Muratova has put together such a grimly comic film here, in two segments - one of them black and white. In the opening (black and white) segment, a woman doctor, is coping very badly with the recent death of her husband; she refuses to treat one of her patients and later goes out on the streets and picks up a drunk and takes him home with her for sex. In the next segment, a film school teacher asks his students what they thought of the previous segment. Interspersed with the student's characteristically self-serving and uninsightful answers are moments of bleak beauty, as when a lonely overweight woman, totally ignored by her son, plays a moving solo of ""Strangers In The Night"" on the trumpet. A segment which caused this feature to be kept from circulation for some time is a short, enigmatic screen monologue which contains an unusual amount of profanity.",153,8,NR,"['Olga Antonova', 'Sergei Popov', 'Galina Zakhurdaeva', 'Natalya Budko', 'Aleksandra Svenskaya', 'Pavel Polishchuk', 'Natalya Ralleva', 'Galina Kasperovich', 'Viktor Aristov', 'Nikolai Semenov', 'Oleg Shkolnik']",['Kira Muratova'],['Comedy Drama'],[],"['Death of a Partner', 'Nothing Goes Right']","['Adult Humor', 'Adult Situations', 'Mild Violence', 'Not For Children', 'Profanity']"
13,Charles et Lucie,1979,"Charles is a middle-aged junk dealer, beset by several imagined illnesses. Lucie is his lady friend, a washed-up singer. Vulnerable and easily led, Charles and Lucie fall victim to a confidence scheme. Left penniless in the south of France, our hero and heroine find themselves the targets of pursuit, not only from the authorities but from the underworld. The curious result is that they regain their join in living. Charles and Lucie is one of a handful of amiable character studies (and the last one to date) directed by Abel Gance protegee Nelly Kaplan.",96,8,R,"['Daniel Ceccaldi', 'Ginette Garcin', 'Jean-Marie Proslier', 'Samson Fainsilber', 'Georges Claisse', 'Marcel Gassouk', 'Henri Tisot', 'Féodor Atkine', 'Robert Beauvais', 'Pierre Repp', 'Jacques Maury', 'Jean Panisse', 'Renée Duncan', 'Guy Grosso']",['Nelly Kaplan'],['Comedy Drama'],['France'],"['Cons and Scams', 'Down on Their Luck', 'Golden Years', ""Musician's Life""]","['Adult Situations', 'Questionable for Children']"
14,Assassin's Creed,2016,"In this feature-film adaptation of the hugely popular video-game series, death-row convict Callum Lynch (Michael Fassbender) relives his ancestor's memories as an assassin in 15th century Spain. From this out-of-body experience, Lynch gains the training he needs to battle a conspiracy in the present day. Marion Cotillard, Jeremy Irons, Michael Kenneth Williams, Brendan Gleeson, and Charlotte Rampling co-star. Directed by Justin Kurzel (The Snowtown Murders).",115,8,PG13,"['Michael Fassbender', 'Marion Cotillard', 'Jeremy Irons', 'Brendan Gleeson', 'Charlotte Rampling', 'Michael K. Williams', 'Denis Ménochet', 'Ariane Labed', 'Khalid Abdalla', 'Carlos Bardem', 'Javier Gutiérrez', 'Essie Davis', 'Matias Padin Varela', 'Callum Turner', 'Hovik Keuchkerian', 'Crystal Clarke', 'Michelle H. Lin', 'Julio Jordan', 'Angus Brown', 'Kemaal Deen-Ellis', 'Aaron Monaghan', 'Thomas Camilleri', 'Marysia S. Peres', 'Jeff Mash', 'James Sobol Kelly', 'Gabriel Andreu', 'Yuric Allison', 'Joe Kennard', 'Gertrude Thoma', 'Juan Pablo Shuk', 'Coco König', 'Matias  Varela', 'Michael Kenneth  Williams', 'Julio Jordán', 'Rufus Wright', 'Dino Fazzani', 'Malcolm Ellul', 'Alexander Cooper', 'Emeson Nwolie', 'Lee Nicholas Harris', 'Christopher Whitlow', 'Martyn Mayger', 'Iain Batchelor']",['Justin Kurzel'],"['Action', 'Adventure', 'Science Fiction', 'Fantasy']","['France', 'United Kingdom', 'Hong Kong', 'Malta', 'Taiwan', 'United States']","['Facing Death', 'Fighting the System', 'Going Undercover', 'Hired Killers', 'Priceless Artifacts and Prized Objects', 'Time Travel']","['Adult Situations', 'Profanity', 'Violence']"
15,The Cabin in the Woods,2012,"Joss Whedon and Drew Goddard team up for this bloody horror satire that offers an inventive twist on the familiar stranded-in-the-woods sub-genre. As five friends pile into an RV bound for a secluded cabin far from civilization, the operators of a mysterious, high-tech control room monitor their every move while preparing an arcane ritual that dates back to the beginning of time. Shortly after arriving at the rickety cottage, Dana (Kristen Connolly) and her friends Curt (Chris Hemsworth), Jules (Anna Hutchison), Marty (Fran Kranz), and Holden (Jesse Willaims) venture into the basement and discover a little girl's diary from the early 1900s -- which recounts a series of horrifying events that unfolded precisely where the vacationing teens how stand. Before long, the nightmare comes knocking at the door -- murder gleaming from its putrid eyes and a rusty saw clenched in rotting hands. In the control room, everything is going exactly according to plan; Sitterson (Richard Jenkins) and Hadley (Bradley Whitford) are taking bets, and their supervisor Lin (Amy Acker) is monitoring every detail. But just when it looks like the show is over, an unexpected glitch threatens to topple the entire system.",95,8,R,"['Kristen Connolly', 'Chris Hemsworth', 'Anna Hutchison', 'Fran Kranz', 'Jesse Williams', 'Richard Jenkins', 'Bradley Whitford', 'Brian White', 'Amy Acker', 'Tim de Zarn', 'Tom Lenk', 'Dan Payne', 'Jodelle Ferland', 'Danny Shea', 'Maya Massar', 'Matt Drake', 'Nels Lennarson', 'Rukiya Bernard', 'Adrian Holmes', 'Chelah Horsdal', 'Terry Chen', 'Heather Doerksen', 'Patrick Sabongui', 'Phillip Mitchell', 'Naomi Dane', 'Ellie Harvie', 'Patrick Gilmore', 'Brad Dryborough', 'Emili Kawashima', 'Aya Furukawa', 'Maria Go', 'Serena Akane Chi', 'Abbey Imai', 'Marina Ishibashi', 'Miku Katsuura', 'Alicia Takase Lui', 'Jodi Tabuchi', 'Sara Taira', 'Alyssandra Yamamoto', 'Richard Cetrone', 'Phoebe Galvan', 'Simon Pidgeon', 'Matt Phillips', 'Lori Stewart', 'Gregory Zach', 'Lori Stewar', 'Dan Shea', 'Peter Kelamis', 'Anna Hutchinson', 'Sigourney Weaver']",['Drew Goddard'],"['Horror', 'Thriller']",['United States'],"['Nightmare Vacations', 'Facing Death', 'Mind Games', 'Survival in the Wilderness', 'Zombies']","['Drug Content', 'Gore', 'Graphic Violence', 'Nudity', 'Profanity', 'Sexual Situations']"
16,Back to the Future,1985,"High schooler Marty McFly (Michael J. Fox) doesn't have the most pleasant of lives. Browbeaten by his principal at school, Marty must also endure the acrimonious relationship between his nerdy father (Crispin Glover) and his lovely mother (Lea Thompson), who in turn suffer the bullying of middle-aged jerk Biff (Thomas F. Wilson), Marty's dad's supervisor. The one balm in Marty's life is his friendship with eccentric scientist Doc (Christopher Lloyd), who at present is working on a time machine. Accidentally zapped back into the 1950s, Marty inadvertently interferes with the budding romance of his now-teenaged parents. Our hero must now reunite his parents-to-be, lest he cease to exist in the 1980s. It won't be easy, especially with the loutish Biff, now also a teenager, complicating matters. Beyond its dazzling special effects, the best element of Back to the Future is the performance of Michael J. Fox, who finds himself in the quagmire of surviving the white-bread 1950s with a hip 1980s mindset. Back to the Future cemented the box-office bankability of both Fox and the film's director, Robert Zemeckis, who went on to helm two equally exhilarating sequels.",116,9,PG,"['Michael J. Fox', 'Christopher Lloyd', 'Crispin Glover', 'Lea Thompson', 'Thomas F. Wilson', 'Claudia Wells', 'Marc McClure', 'Wendie Jo Sperber', 'George DiCenzo', 'James Tolkan', 'Lee McCain', 'Casey Siemaszko', 'Billy Zane', 'Harry Waters Jr.', 'J.J. Cohen', 'Donald Fullilove', 'Lisa Freeman', 'Cristen Kauffman', 'Elsa Raven', 'Will Hare', 'Ivy Bethune', 'Jason Marin', 'Katherine Britton', 'Jason Hervey', 'Maia Brewton', 'Courtney Gains', 'Richard Duran', ""Jeff O'Haco"", 'Johnny Green', 'Jamie Abbott', 'Norman Alden', ""Boyd 'Red' Morgan"", 'Sachi Parker', 'Robert Krantz', 'Gary Riley', 'Karen Petrasek', ""George 'Buck' Flower"", 'Tommy Thomas', ""Granville 'Danny' Young"", 'David Harold Brown', 'Lloyd L. Tolbert', 'Paul Hanson', 'Lee Brownfield', 'Robert DeLapp', 'Huey Lewis', 'Frances Lee McCain', 'Tom Willett', 'Arthur Tovey', 'Tom Tangen', 'Ethel Sway', 'Janine King', 'Richard L. Duran', 'Read Morgan', 'Tom Wilson', 'Michael J.', 'Jeffrey Jay Cohen', 'Thomas Wilson', 'Michael Fox', 'Boyd Red Morgan', 'Paul Hansen', 'Deborah Harmon', 'Elizabeth Chambers']","['Robert Zemeckis', 'Bob Gale', 'Steven Spielberg', 'Neil Canton']","['Action', 'Adventure', 'Fantasy', 'Science Fiction', 'Comedy']",['United States'],"['Time Travel', 'Race Against Time', 'Finding a Way Back Home', 'Fish Out of Water', 'Inventors', 'Mad Scientists']","['Adult Language', 'Adult Situations', 'Mild Violence', 'Suitable for Children']"
17,The Outlaw Josey Wales,1976,"Clint Eastwood's fifth film as a director and eighth Western as a star (ninth if you count Paint Your Wagon), The Outlaw Josey Wales chronicles the hero's violent journey westward after the Civil War. With fresh memoris of his family's slaughter by Red Leg soldier Terrill (Bill McKinney), Confederate Josey Wales (Eastwood) refuses to join his captain Fletcher (John Vernon) and the rest of his comrades in surrender to a U.S. Army regiment. Deemed a dangerous outlaw after a bloody one-man battle with that regiment, Josey is pursued by U.S. cavalry soldiers led by the unwilling Fletcher and the murderous Terrill, as well as by bounty hunters who eventually learn how coolly lethal Wales can be. Despite his desire to remain a lone fugitive, Josey soon has a crew of travelling companions that includes Cherokee Lone Watie (Chief Dan George) and the pretty Laura Lee (Sondra Locke) and her vigorous Grandma Sarah (Paula Trueman), settlers on their way to a ranch near ghost town Santa Rio. The few Santa Rio residents welcome the group, but their peace and Josey's burgeoning romance with Laura Lee are soon interrupted by Terrill's arrival. A skillfully violent man of few, well-chosen words, Josey Wales resembles Eastwood's previous Western heroes in Sergio Leone's trilogy, A Fistful of Dollars (1964), For a Few Dollars More (1965), and The Good, the Bad, and the Ugly (1966). However, the emphasis on friends and family served notice that, in the words of one critic, ""the Man With No Name doesn't live here anymore."" Indeed, <I>Josey Wales</I> would be Eastwood's last western before 1985's Pale Rider. Although it did not garner similar critical praise when it was released, Eastwood considers The Outlaw Josey Wales to be the equal of the Oscar-winning Unforgiven (1992).",135,8,PG,"['Clint Eastwood', 'Chief Dan George', 'Sondra Locke', 'Bill McKinney', 'John Vernon', 'Paula Trueman', 'Sam Bottoms', 'Geraldine Keams', 'Woodrow Parfrey', 'Joyce Jameson', 'Sheb Wooley', 'Royal Dano', 'Matt Clark', 'John Verros', 'Will Sampson', ""William O'Connell"", 'John Quade', 'Buck Kartalian', 'Len Lesser', 'John Russell', 'Charles Tyner', 'John Mitchum', 'Cissy Wellman', 'Bruce Surtees', 'Robert Daley', 'James Fargo', 'Philip Kaufman', 'Tex Rudloff', 'John G. Wilson', 'Sonia Chernus', 'Alex Bytnar', 'Frank Schofield', 'Doug McGrath', 'Bruce M. Fischer', 'John Davis Chandler', 'Tom Roy Lowe', 'Clay Tanner', 'Bob Hoy', 'Madeleine Taylor Holmes', 'Erik Holland', 'Samuel Bottoms', 'Danny Green']",['Clint Eastwood'],"['Western', 'War', 'Action', 'Adventure']",['United States'],"['Vigilantes', 'Lone Wolves', 'Out For Revenge', 'Righting the Wronged', 'White People Among Indians']","['Adult Situations', 'Not For Children', 'Rape & Sexual Abuse', 'Violence']"
18,Blackboard Jungle,1955,"In this gritty urban drama, war veteran Richard Dadier (Glenn Ford) wants to begin his career as a teacher and is given an assignment at a boys high school in inner-city New York. However, he soon discovers the school is overrun by delinquents, led by Artie West (Vic Morrow), an insolent hood who likes to call Richard ""Mr. Daddy-O."" Artie and his gang steal, destroy property, refuse to respect authority, and threaten the female teachers with rape. While most of the faculty have given up and meekly let the delinquents do what they want, Dadier is determined to bring order back to his classroom, even after Artie's thugs threaten Richard's pregnant wife. Keep your eyes peeled for a bit part by Jameel Farah, years before he would change his name to Jamie Farr. Blackboard Jungle was also the first major studio film to use rock & roll on the soundtrack; the film's success kick-started sales of ""Rock Around the Clock"" by Bill Haley & His Comets, which helped to spark the rock & roll boom of the 1950s.",100,9,NR,"['Glenn Ford', 'Anne Francis', 'Louis Calhern', 'Sidney Poitier', 'Margaret Hayes', 'John Hoyt', 'Richard Kiley', 'Emile Meyer', 'Warner Anderson', 'Basil Ruysdael', 'Vic Morrow', 'Dan Terranova', 'Rafael Campos', 'Paul Mazursky', 'Horace MacMahon', 'Jameel Farah', 'Danny Dennis', 'Richard Deacon', 'Dorothy Neumann', 'Virginia Pherrin', 'Chris G. Randall', 'Henny Backus', 'David Alpert', 'Peter Miller', 'Yoski Tomita', 'Maggie Hayes', 'Emile G. Meyer', 'Horace McMahon', 'Robert Foulk', 'Paul Hoffman', 'Tom McKee', 'Manuel París', 'Jamie Farr', 'Teddy Infuhr', 'Warren Hamilton', 'Raphael Campos']",['Richard Brooks'],"['Drama', 'Crime']",['United States'],"['High School Life', 'Inner City Blues', 'Kids in Trouble', 'Teachers and Students', 'Generation Gap']","['Questionable for Children', 'Violence']"
19,Fast Times at Ridgemont High,1982,"Amy Heckerling's adaptation of Cameron Crowe's Fast Times at Ridgemont High is often considered one of the finest films of a disreputable genre (the teen sex comedy), and kick-started the careers of many future stars. The center of this ensemble film is Jennifer Jason Leigh as Stacy Hamilton. She is a young, innocent high-school student who, as the film opens, is asking for advice from her friend, the sexually outspoken Linda Barrett (Phoebe Cates). Stacy takes a liking to nebbish Mark Ratner (Brian Backer), but he is too afraid to make a move even after Stacy all but throws herself at him. She eventually hooks up with Mark's more confident best friend, Mike Damone (Robert Romanus). When not concerning itself with these four characters, the film spends time with stoned surfer dude Jeff Spicoli (Sean Penn) and his ongoing feud with history teacher Mr. Hand (Ray Walston). The film includes brief appearances by such future stars as Nicolas Cage, Eric Stoltz, and Forest Whitaker.",92,10,R,"['Sean Penn', 'Jennifer Jason Leigh', 'Judge Reinhold', 'Robert Romanus', 'Brian Backer', 'Phoebe Cates', 'Ray Walston', 'Scott Thomson', 'Vincent Schiavelli', 'Amanda Wyss', 'D.W. Brown', 'Forest Whitaker', 'Kelli Maroney', 'Tom Nolan', 'Blair Ashleigh', 'Eric Stoltz', 'Stanley Davis Jr.', 'James Russo', 'James Bershad', 'Nicolas Cage', 'Reginald H. Farmer', 'Anthony Edwards', 'Pamela Springsteen', 'Stuart Cornfeld', 'Sonny Davis', 'Michael Wyle', 'David F. Price', 'Patrick Brennan', 'Julie Guilmette', ""Shelly O'Neill"", 'Stu Nahan', 'Duane Tucker', 'Martin Brest', 'Douglas Brian Martin', 'Steven M. Martin', 'Taylor Negrón', 'Kenny Lawrence', 'John Hollander', 'Ricky Redlich', 'Nancy Wilson', 'Virginia Peters', 'Laurie Hendricks', 'Lois Brandt', 'Ellen Fenwick', 'Cherie Effron', 'Suzanne Marie Fava', 'Lana Clarkson', 'Roy Holmer Wallack', 'Ava Lazar', 'Lori Sutton', 'Sonny Carl Davis', 'Stuart Cornfield']",['Amy Heckerling'],['Romance'],['United States'],"['High School Life', 'Innocence Lost', 'Sexual Awakening', 'Faltering Friendships', 'Teen Angst', 'First Love']","['Adult Humor', 'Adult Situations', 'Mild Violence', 'Not For Children', 'Nudity', 'Profanity', 'Strong Sexual Content', 'Watch With Your Teen']"
20,Predator,1987,"Dutch (Arnold Schwarzenegger) has a code of honor which he will not violate, even when his life depends on it. Paradoxically, his code of honor gives him the backbone to survive as a military special forces operative when he is sent on a covert mission to rescue another group which was sent in to assist some nefarious U.S. government plan in a Latin American country. Once there, he encounters an old army buddy (Carl Weathers) who has gotten too deep in the CIA's good graces for Dutch's comfort. When he and his team go into the jungle to rescue the others, they get involved in a pitched battle with local guerillas, but they are more than capable of besting these vicious fighters. However, not long after that, they encounter signs that the equally capable men they were sent to rescue were all killed unawares and in an unusually gruesome fashion. Given their training, it should have been impossible for anyone to best all of these commando warriors. Soon, the men from Dutch's own team get picked off one by one, as they grow aware that they are up against something uncanny, not of this world, something that is hunting them for sport. Why? Because their skills make them worthy opponents for the perfectly camouflaged Predator. This carefully paced action movie was given poor reviews by many movie critics, but was sufficiently satisfying for its (largely male) audiences that a successful sequel (Predator 2) was released in 1990.",107,9,R,"['Arnold Schwarzenegger', 'Carl Weathers', 'Elpidía Carrillo', 'Bill Duke', 'Jesse Ventura', 'Sonny Landham', 'Richard Chaves', 'R.G. Armstrong', 'Shane Black', 'Kevin Peter Hall', 'Sven-Ole Thorsen', 'Steve Boyum', 'Franco Columbu', 'Henry Kingi', 'Jack Verbois', 'Peter Cullen']",['John McTiernan'],"['Action', 'Adventure', 'Science Fiction', 'Thriller']","['Spain', 'Mexico', 'United States']","['Daring Rescues', 'Evil Aliens', 'Heroic Mission', 'Invisible People', 'Military Life', 'Survival in the Wilderness']","['Adult Language', 'Gore', 'Not For Children', 'Profanity', 'Violence']"
21,Night of the Living Dead,1968,"When unexpected radiation raises the dead, a microcosm of Average America has to battle flesh-eating zombies in George A. Romero's landmark cheapie horror film. Siblings Johnny (Russ Streiner) and Barbara (Judith O'Dea) whine and pout their way through a graveside visit in a small Pennsylvania town, but it all takes a turn for the worse when a zombie kills Johnny. Barbara flees to an isolated farmhouse where a group of people are already holed up. Bickering and panic ensue as the group tries to figure out how best to escape, while hoards of undead converge on the house; news reports reveal that fire wards them off, while a local sheriff-led posse discovers that if you ""kill the brain, you kill the ghoul."" After a night of immolation and parricide, one survivor is left in the house.... Romero's grainy black-and-white cinematography and casting of locals emphasize the terror lurking in ordinary life; as in Alfred Hitchcock's The Birds (1963), Romero's victims are not attacked because they did anything wrong, and the randomness makes the attacks all the more horrifying. Nothing holds the key to salvation, either, whether it's family, love, or law. Topping off the existential dread is Romero's then-extreme use of gore, as zombies nibble on limbs and viscera. Initially distributed by a Manhattan theater chain owner, <I>Night</I>, made for about 100,000 dollars, was dismissed as exploitation, but after a 1969 re-release, it began to attract favorable attention for scarily tapping into Vietnam-era uncertainty and nihilistic anxiety. By 1979, it had grossed over 12 million, inspired a cycle of apocalyptic splatter films like The Texas Chainsaw Massacre (1974), and set the standard for finding horror in the mundane. However cheesy the film may look, few horror movies reach a conclusion as desolately unsettling.",96,10,R,"[""Judith O'Dea"", 'Russell Streiner', 'Duane Jones', 'Keith Wayne', 'Karl Hardman', 'Judith Ridley', 'Marilyn Eastman', 'Kyra Schon', 'Bill Heinzman', 'Charles Craig', 'Lee Hartman', 'Frank Doak', 'George Kosana', 'Bill Cardille', 'Mark Ricci', 'George Romero', 'John A. Russo', 'Jack Givens', 'Rudy Ricci', 'Paula Richards', 'John Simpson', 'Herbert Summer', 'Richard Ricci', 'William Burchinal', 'Ross Harris', 'Al Croft', 'Jason Richards', 'Dave James', 'Sharon Carroll', 'William Mogush', 'Steve Hutsko', 'Joann Michaels', 'Phillip Smith', 'Ella Mae Smith', 'Randy Burr', ""Bill 'Chilly Billy' Cardille"", 'S. William Hinzman', 'Scott Vladimir Licina', 'Adam Knox', 'Debbie Rochon', 'Heidi Hinzman', 'Russ Streiner', 'Bill Hinzman', 'Rossie Harris', 'William Hinzman', 'Judith Reilly']",['George Romero'],['Horror'],['United States'],"['Zombies', 'Experiments Gone Awry', 'Cannibals', 'Mutants']","['Gore', 'Not For Children', 'Profanity']"
22,"The Lion, the Witch and the Wardrobe",1979,"C. S. Lewis' beloved children's story The Lion, the Witch and the Wardrobe was brought to the small screen in this animated adaptation. Four children are transported to the mythical land of Narnia by way of a magic wardrobe (or clothes closet, if you prefer). Here they confront a wicked witch who has enveloped Narnia in the throes of winter. The kids must fulfill their mission of restoring the rightful king, a friendly lion, to the throne. Originally telecast in two parts on April 1 and 2, 1979, The Lion, the Witch and the Wardrobe was co-produced by Bill Melendez Productions, the Children's Television Workshop, the Episcopal Radio-TV Foundation, TV Cartoons and Pegbar Productions.",95,9,NR,"['Rachel Warren', 'Dick Vosburgh', 'Stephen Thorne', 'Beth Porter']",['Bill Melendez'],"['Fantasy', ""Children's/Family""]","['United Kingdom', 'United States']","['Crowned Heads', 'Fantasy Lands', 'Heroic Mission']",['Excellent For Children']
23,Okja,2017,"A young Korean girl named Mija (Ahn Seo-Hyun) befriends a gigantic pig known as Okja, who's been genetically engineered by a major corporation as a new form of livestock. When the company comes to claim Okja, Mija travels to New York City to save her porcine pal, and soon falls in with a quirky group of animal-rights activists planning a much larger mission of corporate sabotage. This wild sci-fi adventure was co-written and directed by visionary filmmaker Bong Joon-ho (The Host, Memories of Murder, Snowpiercer), and co-stars Tilda Swinton, Jake Gyllenhaal, Paul Dano, Lily Collins, Steven Yeun, and Giancarlo Esposito.",118,8,NR,"['Tilda Swinton', 'Paul Dano', 'Seo-Hyeon Ahn', 'Lily Collins', 'Giancarlo Esposito', 'Jake Gyllenhaal', 'Byeon Hie-bong', 'Steven Yeun', 'Yoon Jea-Moon', 'Shirley Henderson', 'Daniel Henshall', 'Devon Bostick', 'Choi Woo-Shik', 'Colm Hill', 'Michael Mitton', 'Sheena Kamal', 'Kathryn Kirkpatrick', 'Jose Carias', 'Nancy Bell', 'Jaein Kim', 'Moon Choi', 'Jiwoong Jang Jang', 'Bongryun Lee', 'Kiseon Park', 'Kyungho Yoon', 'Wanki Cho', 'Sungyong Han', 'Kwak Min-seok', 'Jihoon Park', 'Jungeon Lee', 'Jiwoong Jang', 'Choi Woo Shik']",['Joon-ho Bong'],"['Fantasy', 'Drama', 'Action', 'Adventure', 'Science Fiction', 'Thriller']","['Korea', 'South', 'United States']",['On the Run'],[]
24,The Umbrellas of Cherbourg,1964,"Jacques Demy's 1964 masterpiece is a pop-art opera, or, to borrow the director's own description, a film in song. This simple romantic tragedy begins in 1957. Guy Foucher (Nino Castelnuovo), a 20-year-old French auto mechanic, has fallen in love with 17-year-old Geneviève Emery (a luminous Catherine Deneuve), an employee in her widowed mother's chic but financially embattled umbrella shop. On the evening before Guy is to leave for a two-year tour of combat in Algeria, he and Geneviève make love. She becomes pregnant and must choose between waiting for Guy's return or accepting an offer of marriage from a wealthy diamond merchant (Marc Michel, reprising his role from Demy's masterful debut, Lola). A completely sung movie, The Umbrellas of Cherbourg is closest in form to a cinematic opera. Composer Michel Legrand composed the score, modeling it around the patterns of everyday conversation. Umbrellas was re-released in 1997.",120,10,NR,"['Catherine Deneuve', 'Nino Castelnuovo', 'Marc Michel', 'Ellen Farner', 'Anne Vernon', 'Mireille Perrey', 'Jean Champion', 'Pierre Caden', 'Jean-Pierre Dorat', 'Bernard Fradet', 'Michel Benoist', 'Philippe Dumat', 'Harald Wolff', 'Jane Carat', 'Jean-Paul Chizat', 'Patrick Bricard', 'Bernard Garnier', 'Francois Charet', 'Jacques Camelinat', 'Roger Perrinoz', 'Paul Pavel', 'Gisele Grandpre', 'Rosalie Varda', 'Francois Foucher', 'Dorothée Blank', 'Hervé Legrand', 'Ellen Farmer', 'Alfred Wolff', 'Dorothee  Blanck']","['Jacques Demy', 'Nino Castelnuovo']","['Drama', 'Romance', 'Music', 'Musical']","['Germany', 'France']","['Star-Crossed Lovers', 'First Love', 'Forbidden Love', 'Home From the War', 'Love Triangles', 'Military Life', 'Mothers and Daughters', 'Romantic Betrayal', 'Lovers Reunited']",['Adult Situations']
